Part,Price/Unit,Quantity,Total Price,Link
6 DOF 25KG Digital Servo Educational Desktop Robotic Arm V2,$259.00,1,$259.00,https://www.dfrobot.com/product-192.html
Raspberry Pi Model 3A+,$25.00,1,$25.00,https://www.adafruit.com/product/4027?src=raspberrypi
Custom PCB ,$5.04,5,$25.20,https://cart.jlcpcb.com/quote?stencilLayer=2&stencilWidth=230&stencilLength=230&stencilCounts=5&plateType=1&spm=Jlcpcb.Homepage.1010
Clear Acrylic Plexiglass Sheet,$23.06,1,$23.06,https://www.ttplasticland.com/products/custom-clear-acrylic-sheet?variant=42262520627266&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gad_campaignid=22804052387&gbraid=0AAAAA-TAZZzNyq1h2oq99JRYWDsXXXmyn&gclid=CjwKCAjwvqjOBhAGEiwAngeQnV-sOotW_Pf4T2obymC6pHLoe2dRw6Lvs91MR2x7Sl3BT10qNc2n-hoCuV0QAvD_BwE
"Club Vinyl Rollup Chess Board - Green & Buff - 2.25"" Squares",$10.99,1,$10.99,https://thechessstore.com/club-vinyl-rollup-chess-board-green-buff-2-25-squares/?gad_source=1&gad_campaignid=22314687082&gbraid=0AAAAAD_uFOnXU58AKNUAvF1BKUuNJ-Da3&gclid=CjwKCAjwvqjOBhAGEiwAngeQnTurJeciFs6t7eP73iU21d2UBkaZxJXKvaMO7LkMzK2pjIXAGduFfRoCmwwQAvD_BwE
"3 3/4"" Quality Club Special Chess Pieces",$13.00,1,$13.00,https://www.chesshouse.com/collections/plastic-chess-pieces/products/3-3-4-quality-club-special-chess-piece
Arduino® UNO R4 Minima,$16.00,1,$16.00,https://store-usa.arduino.cc/products/uno-r4-minima?utm_source=google&utm_medium=cpc&utm_campaign=US-Pmax-Promo&gad_source=1&gad_campaignid=23663154915&gbraid=0AAAAACbEa84fTLOeZTfH-C5ofHRcgHsO9&gclid=CjwKCAjwvqjOBhAGEiwAngeQndIlSVGpY-slOrMTl2DxjoyCX0gtSAVkw44OozsZsgIa5ApLeZDvuBoCUPAQAvD_BwE
"CableCreation 6 inch USB C Cable Short, USB A to USB C",$7.59,1,$7.59,https://www.amazon.com/CableCreation-Braided-Compatible-MacBook-Resistance/dp/B01CZVEUIE?th=1
HiModel 6-50V Input/ 7.4-12V Output 20A Large Current Switching Mode Voltage Regulator/ SBEC,$15.00,1,$15.00,https://www.himodel.com/electric/HiModel_6-50V_Input_7.4-12V_Output_20A_Large_Current_Switching_Mode_Voltage_Regulator_SBEC.html
Jumper Cables,$1.95,10,$19.50,https://www.digikey.com/en/products/detail/adafruit-industries-llc/1957/6827090
